week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-10-06,Monday,casual,5319,17.26
2024-10-06,Monday,member,12106,11.76
2024-10-06,Tuesday,casual,5427,17.57
2024-10-06,Tuesday,member,13855,12.2
2024-10-06,Wednesday,casual,5621,16.82
2024-10-06,Wednesday,member,13696,11.74
2024-10-06,Thursday,casual,6952,17.46
2024-10-06,Thursday,member,14177,12.4
2024-10-06,Friday,casual,10012,22.55
2024-10-06,Friday,member,13415,12.75
2024-10-06,Saturday,casual,11287,22.8
2024-10-06,Saturday,member,10421,13.33
2024-10-13,Sunday,casual,12801,25.17
2024-10-13,Sunday,member,9677,13.87
2024-10-13,Monday,casual,4729,19.93
2024-10-13,Monday,member,9186,10.77
2024-10-13,Tuesday,casual,1657,11.6
2024-10-13,Tuesday,member,5843,10.43
2024-10-13,Wednesday,casual,4083,15.83
2024-10-13,Wednesday,member,11218,11.26
2024-10-13,Thursday,casual,4871,18.09
2024-10-13,Thursday,member,12105,11.56
2024-10-13,Friday,casual,6218,18.62
